,Outlier,comment_count,down_votes,reputation,score,up_votes,user_id,view_count,views
1070,score,4,0,145,-1,38,1761503,18,12
1073,score,5,0,123,1,12,464710,18,12
1076,score,4,0,39,1,0,2487280,18,13
1077,score,1,0,81,-1,4,4991153,19,13
1083,score,1,0,179,-1,12,1432790,19,14
1088,score,0,0,71,1,5,1607383,19,14
1094,score,1,0,1,-2,0,5454261,18,0
1108,score,1,0,1,-1,0,5572835,20,1
1110,score,2,0,1,-1,0,5464741,18,1
1119,score,0,0,1,-2,0,6216274,15,3
1120,score,1,0,1,-2,0,6216274,14,3
1139,score,0,0,9,-3,0,6371695,16,6
1143,score,0,0,11,1,0,2608644,19,0
1145,score,0,0,11,1,0,3541517,20,3
1146,score,4,0,11,1,0,2562054,13,3
1148,score,1,0,11,1,0,2993670,10,6
1149,score,0,0,11,-2,0,6076578,6,8
1157,score,0,0,13,1,0,6437549,15,0
1163,score,1,0,13,1,0,6294858,17,8
1166,score,0,0,21,1,0,5587036,17,16
1169,score,2,0,21,-1,0,5975154,18,29
1177,score,0,0,21,-1,12,2504556,9,10
1180,score,4,0,23,-1,0,3060940,9,38
1181,score,0,0,23,1,0,5521462,16,1
1184,score,2,0,23,1,0,1301329,15,11
